OTU1_gs,OTU2_gs,weight
g__Acidaminococcus.s__Acidaminococcus_intestini,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145,-0.2547814755280832
g__Acidaminococcus.s__Acidaminococcus_intestini,g__Intestinibacter.s__Intestinibacter_bartlettii,0.9022262150710657
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Barnesiella.s__Barnesiella_intestinihominis,0.899832795497679
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Ruminococcus.s__Ruminococcus_bromii,-0.1677184294131116
g__Aeriscardovia.s__Aeriscardovia_aeriphila,g__Enterorhabdus.s__Enterorhabdus_caecimuris,0.9011665869055653
g__Aeriscardovia.s__Aeriscardovia_aeriphila,g__Ruminococcus.s__Ruminococcus_bromii,-0.882376825658971
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Asaccharobacter.s__Asaccharobacter_celatus,0.9047607221883623
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145,-0.0434572647479362
g__Alistipes.s__Alistipes_finegoldii,g__Roseburia.s__Roseburia_inulinivorans,0.9037062341702763
g__Alistipes.s__Alistipes_finegoldii,g__Ruminococcus.s__Ruminococcus_bromii,-0.43570314209041344
g__Alistipes.s__Alistipes_putredinis,g__Anaerostipes.s__Anaerostipes_hadrus,0.9037876622928142
g__Alistipes.s__Alistipes_putredinis,g__Bacteroides.s__Bacteroides_ovatus,0.9043320076737218
g__Alistipes.s__Alistipes_putredinis,g__Ruminococcus.s__Ruminococcus_bromii,-0.029133525389680108
g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250,g__Roseburia.s__Roseburia_inulinivorans,0.9009926868768339
g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250,g__Ruminococcus.s__Ruminococcus_bromii,-0.4107065411339091
g__Anaerostipes.s__Anaerostipes_hadrus,g__Ruminococcus.s__Ruminococcus_bromii,-0.021659927438199358
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145,-0.041320729343325945
g__Bacteroides.s__Bacteroides_caccae,g__Bacteroides.s__Bacteroides_cellulosilyticus,0.904296408372596
g__Bacteroides.s__Bacteroides_caccae,g__Ruminococcus.s__Ruminococcus_bromii,-0.29677182861897256
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Clostridium.s__Clostridium_disporicum,0.9003972718889283
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Ruminococcus.s__Ruminococcus_bromii,-0.3010464017353795
g__Bacteroides.s__Bacteroides_clarus,g__Bacteroides.s__Bacteroides_massiliensis,0.9051234275396478
g__Bacteroides.s__Bacteroides_clarus,g__Ruminococcus.s__Ruminococcus_bromii,-0.7798709546080294
g__Bacteroides.s__Bacteroides_massiliensis,g__Ruminococcus.s__Ruminococcus_bromii,-0.7799247691718753
g__Bacteroides.s__Bacteroides_ovatus,g__Ruminococcus.s__Ruminococcus_bromii,-0.03362769288811284
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145,0.9030345231214572
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Ruminococcus.s__Ruminococcus_bromii,-0.9030345231214572
g__Bacteroides.s__Bacteroides_uniformis,g__Eubacterium.s__Eubacterium_ventriosum,0.9029471224398541
