OTU1_gs,OTU2_gs,weight
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Bifidobacterium.s__Bifidobacterium_longum,-0.8381212787953161
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Streptococcus.s__Streptococcus_salivarius,0.904723289625164
g__Aeriscardovia.s__Aeriscardovia_aeriphila,g__Bifidobacterium.s__Bifidobacterium_longum,-0.8970988057031225
g__Aeriscardovia.s__Aeriscardovia_aeriphila,g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus,0.9045680353357597
g__Aeriscardovia.s__Aeriscardovia_aeriphila,g__Ruminococcaceae_unclassified.s__Clostridium_leptum,0.8995043107916728
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Bacteroides.s__Bacteroides_stercoris,0.9024610989429119
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Bifidobacterium.s__Bifidobacterium_longum,-0.3630261087395376
g__Akkermansia.s__Akkermansia_muciniphila,g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum,0.9036186093988127
g__Akkermansia.s__Akkermansia_muciniphila,g__Holdemania.s__Holdemania_filiformis,-0.5209746389816325
g__Alistipes.s__Alistipes_finegoldii,g__Bacteroides.s__Bacteroides_caccae,0.9018824162972193
g__Alistipes.s__Alistipes_finegoldii,g__Bifidobacterium.s__Bifidobacterium_longum,-0.9017241591649648
g__Alistipes.s__Alistipes_finegoldii,g__Holdemania.s__Holdemania_filiformis,0.9017241591649648
g__Alistipes.s__Alistipes_putredinis,g__Bifidobacterium.s__Bifidobacterium_longum,-0.8425125235418391
g__Alistipes.s__Alistipes_putredinis,g__Streptococcus.s__Streptococcus_salivarius,0.9028457383736868
g__Anaerostipes.s__Anaerostipes_hadrus,g__Bifidobacterium.s__Bifidobacterium_adolescentis,0.9040185761902656
g__Anaerostipes.s__Anaerostipes_hadrus,g__Eubacterium.s__Eubacterium_hallii,0.8981352436474214
g__Anaerostipes.s__Anaerostipes_hadrus,g__Holdemania.s__Holdemania_filiformis,-0.6833349478327948
g__Anaerotignum.s__Anaerotignum_lactatifermentans,g__Bifidobacterium.s__Bifidobacterium_longum,-0.22904510764984481
g__Anaerotignum.s__Anaerotignum_lactatifermentans,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83,0.8892521959419655
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Bifidobacterium.s__Bifidobacterium_longum,-0.8637924946737298
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Christensenella.s__Christensenella_minuta,0.9035062600859489
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Collinsella.s__Collinsella_intestinalis,0.8995594784150412
g__Bacteroides.s__Bacteroides_caccae,g__Bifidobacterium.s__Bifidobacterium_longum,-0.8983467174684077
g__Bacteroides.s__Bacteroides_caccae,g__Roseburia.s__Roseburia_hominis,0.9049885621551009
g__Bacteroides.s__Bacteroides_ovatus,g__Bifidobacterium.s__Bifidobacterium_longum,-0.8054885387971812
g__Bacteroides.s__Bacteroides_ovatus,g__Parabacteroides.s__Parabacteroides_distasonis,0.8999540628768984
g__Bacteroides.s__Bacteroides_stercoris,g__Bifidobacterium.s__Bifidobacterium_longum,-0.3756976859147025
g__Bacteroides.s__Bacteroides_stercoris,g__Blautia.s__Blautia_wexlerae,0.903277798912998
g__Bacteroides.s__Bacteroides_uniformis,g__Bifidobacterium.s__Bifidobacterium_longum,-0.1429582453631632
g__Bacteroides.s__Bacteroides_uniformis,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83,0.9037694973142484
g__Bacteroides.s__Bacteroides_uniformis,g__Gemmiger.s__Gemmiger_formicilis,0.8772084710973131
g__Bacteroides.s__Bacteroides_vulgatus,g__Bifidobacterium.s__Bifidobacterium_longum,-0.7641564189936386
g__Bacteroides.s__Bacteroides_vulgatus,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_94,0.9030464711955445
g__Barnesiella.s__Barnesiella_intestinihominis,g__Bifidobacterium.s__Bifidobacterium_longum,-0.8316394049292642
