pathway,Taxonomy,gene
Unnamed: 0,,
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,,
1CMET2-PWY,unclassified,
1CMET2-PWY,unclassified,UniRef90_A0A174V5E8
1CMET2-PWY,unclassified,UniRef90_A0A174VMU6
1CMET2-PWY,unclassified,UniRef90_A0A174AKU3
1CMET2-PWY,unclassified,UniRef90_A0A174V2R7
1CMET2-PWY,unclassified,UniRef90_A0A174V325
1CMET2-PWY,unclassified,UniRef90_A0A174LHK8
1CMET2-PWY,unclassified,UniRef90_Q8A9S7
1CMET2-PWY,unclassified,UniRef90_U2CFH9
1CMET2-PWY,unclassified,UniRef90_Q5LAX0
1CMET2-PWY,g__Blautia.s__Blautia_obeum,
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_A0A174V5E8
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_A0A174VMU6
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_A0A174AKU3
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_A0A174V2R7
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_A0A174V325
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_A0A174LHK8
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_Q8A9S7
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_U2CFH9
1CMET2-PWY,g__Blautia.s__Blautia_obeum,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A174V5E8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A174VMU6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A174AKU3
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A174V2R7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A174V325
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A174LHK8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_U2CFH9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_Q5LAX0
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A174V5E8
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A174VMU6
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A174AKU3
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A174V2R7
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A174V325
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A174LHK8
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_Q8A9S7
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_U2CFH9
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_Q5LAX0
1CMET2-PWY,g__Bifidobacterium.s__Bifidobacterium_longum_CAG_69,
1CMET2-PWY,g__Bifidobacterium.s__Bifidobacterium_longum_CAG_69,UniRef90_A0A174V5E8
1CMET2-PWY,g__Bifidobacterium.s__Bifidobacterium_longum_CAG_69,UniRef90_A0A174VMU6
1CMET2-PWY,g__Bifidobacterium.s__Bifidobacterium_longum_CAG_69,UniRef90_A0A174AKU3
1CMET2-PWY,g__Bifidobacterium.s__Bifidobacterium_longum_CAG_69,UniRef90_A0A174V2R7
1CMET2-PWY,g__Bifidobacterium.s__Bifidobacterium_longum_CAG_69,UniRef90_A0A174V325
1CMET2-PWY,g__Bifidobacterium.s__Bifidobacterium_longum_CAG_69,UniRef90_A0A174LHK8
