OTU1_clean,OTU2_clean,weight
1CMET2-PWY,ANAGLYCOLYSIS-PWY,0.9034231338010249
1CMET2-PWY,DENOVOPURINE2-PWY,-0.4456774824275669
1CMET2-PWY,DTDPRHAMSYN-PWY,0.902202840866273
1CMET2-PWY,PWY-841,-0.554772718309922
ANAEROFRUCAT-PWY,PANTO-PWY,0.8999995097491561
ANAEROFRUCAT-PWY,PWY-5188,0.9046112093193334
ANAEROFRUCAT-PWY,PWY-6892,0.901460943807969
ANAEROFRUCAT-PWY,PWY-7111,-0.25610865070344896
ANAEROFRUCAT-PWY,VALSYN-PWY,-0.25610865070344896
ANAGLYCOLYSIS-PWY,CALVIN-PWY,0.8954932333540397
ANAGLYCOLYSIS-PWY,DENOVOPURINE2-PWY,-0.43806058163508604
ANAGLYCOLYSIS-PWY,DTDPRHAMSYN-PWY,0.9039486584257197
ANAGLYCOLYSIS-PWY,PWY-841,-0.548186386458837
ARGSYN-PWY,ARGSYNBSUB-PWY,0.8915462613076908
ARGSYN-PWY,DENOVOPURINE2-PWY,-0.7229869733702291
ARGSYN-PWY,PWY-7400,0.9036280594455864
ARGSYN-PWY,PWY-841,-0.7855994061809909
ARGSYNBSUB-PWY,DENOVOPURINE2-PWY,-0.7549909762718803
ARGSYNBSUB-PWY,PWY-1042,0.8948705087780277
ARGSYNBSUB-PWY,PWY-7221,0.8853123713218857
ARGSYNBSUB-PWY,PWY-841,-0.8111624527419828
ARO-PWY,DENOVOPURINE2-PWY,-0.6446283762083281
ARO-PWY,PEPTIDOGLYCANSYN-PWY,0.9048619962488049
ARO-PWY,PWY-6387,0.9026229527288414
ARO-PWY,PWY-841,-0.7220952946023218
BRANCHED-CHAIN-AA-SYN-PWY,DENOVOPURINE2-PWY,-0.6727068986600452
BRANCHED-CHAIN-AA-SYN-PWY,PWY-5686,0.9028063267137557
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6386,0.9009414064997109
BRANCHED-CHAIN-AA-SYN-PWY,PWY-841,-0.745002045679403
CALVIN-PWY,DENOVOPURINE2-PWY,-0.3959355268165734
CALVIN-PWY,DTDPRHAMSYN-PWY,0.8967927049648821
CALVIN-PWY,PWY-2942,0.8931945081768915
CALVIN-PWY,PWY-841,-0.5115125213859414
COA-PWY,DENOVOPURINE2-PWY,-0.0937789539756603
COA-PWY,HSERMETANA-PWY,0.8969697595924979
COA-PWY,PWY-6123,0.899659268104881
COA-PWY,PWY-841,-0.23550696613002645
COA-PWY-1,DENOVOPURINE2-PWY,-0.5861590529534074
COA-PWY-1,PWY-5103,0.9032988602098206
COA-PWY-1,PWY-7219,0.9041090409026858
COA-PWY-1,PWY-841,-0.6738439464228948
COMPLETE-ARO-PWY,DENOVOPURINE2-PWY,-0.6128401613324089
COMPLETE-ARO-PWY,PWY-6122,0.8998699436294808
COMPLETE-ARO-PWY,PWY-6277,0.8998699436294808
COMPLETE-ARO-PWY,PWY-841,-0.6959554854080846
DENOVOPURINE2-PWY,DTDPRHAMSYN-PWY,-0.43271268793180373
DENOVOPURINE2-PWY,GLUTORN-PWY,-0.48210182837856885
DENOVOPURINE2-PWY,HSERMETANA-PWY,-0.13669892758501398
