OTU1_clean,OTU2_clean,weight
1CMET2-PWY,PWY-5695,0.898396515774115
1CMET2-PWY,PWY-6124,0.8989056318936809
1CMET2-PWY,PWY-841,-0.004684257976187755
ANAEROFRUCAT-PWY,PWY-6737,-0.22484000208565263
ANAEROFRUCAT-PWY,PWY-7357,0.9050408280584087
ANAEROFRUCAT-PWY,SER-GLYSYN-PWY,0.8991966845834841
ANAEROFRUCAT-PWY,THRESYN-PWY,0.8986778437347227
ANAEROFRUCAT-PWY,VALSYN-PWY,-0.04350218189074518
ANAGLYCOLYSIS-PWY,PWY-4242,0.8988424884255573
ANAGLYCOLYSIS-PWY,PWY-5097,0.9030750250581315
ANAGLYCOLYSIS-PWY,PWY-6892,-0.36525962423126307
ANAGLYCOLYSIS-PWY,PWY-841,-0.4003632410583874
ARGSYN-PWY,ARGSYNBSUB-PWY,0.9027271196028748
ARGSYN-PWY,PWY-6387,0.89876267037119
ARGSYN-PWY,PWY-6892,-0.6522601978036162
ARGSYN-PWY,PWY-7400,0.9039696110569342
ARGSYN-PWY,PWY-841,-0.6752668504858221
ARGSYNBSUB-PWY,PWY-6387,0.9012773602789416
ARGSYNBSUB-PWY,PWY-6892,-0.6598008457509249
ARGSYNBSUB-PWY,PWY-7400,0.9015199467860615
ARGSYNBSUB-PWY,PWY-841,-0.6824045017871107
ARO-PWY,PWY-6163,0.9005611575792613
ARO-PWY,PWY-6386,0.9022374991383445
ARO-PWY,PWY-6892,-0.7088228621760548
ARO-PWY,PWY-7219,0.9050066967838631
ARO-PWY,PWY-841,-0.7287017638894282
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6122,0.9018622712853847
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6277,0.9018622712853847
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6892,-0.5846674517154036
BRANCHED-CHAIN-AA-SYN-PWY,PWY-841,-0.6110934707133667
CALVIN-PWY,HISTSYN-PWY,0.9007423898476052
CALVIN-PWY,PWY-5667,0.9040155810786312
