original_name,cleaned_name
PWY-6737: starch degradation V,PWY-6737
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),ILEUSYN-PWY
PWY-7111: pyruvate fermentation to isobutanol (engineered),PWY-7111
VALSYN-PWY: L-valine biosynthesis,VALSYN-PWY
PWY-1042: glycolysis IV (plant cytosol),PWY-1042
PWY-7221: guanosine ribonucleotides de novo biosynthesis,PWY-7221
PWY-5686: UMP biosynthesis,PWY-5686
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),PWY-6386
PWY-5103: L-isoleucine biosynthesis III,PWY-5103
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),PWY-6387
PWY-7219: adenosine ribonucleotides de novo biosynthesis,PWY-7219
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),PEPTIDOGLYCANSYN-PWY
ARO-PWY: chorismate biosynthesis I,ARO-PWY
COA-PWY-1: coenzyme A biosynthesis II (mammalian),COA-PWY-1
TRNA-CHARGING-PWY: tRNA charging,TRNA-CHARGING-PWY
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),GLYCOGENSYNTH-PWY
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,DTDPRHAMSYN-PWY
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,PWY-6122
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis,PWY-6277
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,PWY-6163
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),ARGSYNBSUB-PWY
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),ARGSYN-PWY
PWY-7400: L-arginine biosynthesis IV (archaebacteria),PWY-7400
PWY-6609: adenine and adenosine salvage III,PWY-6609
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY
PWY-6151: S-adenosyl-L-methionine cycle I,PWY-6151
PWY-4242: pantothenate and coenzyme A biosynthesis III,PWY-4242
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),PWY-6385
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,PWY-6121
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),ANAGLYCOLYSIS-PWY
PWY-3841: folate transformations II,PWY-3841
PWY-3001: superpathway of L-isoleucine biosynthesis I,PWY-3001
PWY-2942: L-lysine biosynthesis III,PWY-2942
PWY-5097: L-lysine biosynthesis VI,PWY-5097
COA-PWY: coenzyme A biosynthesis I,COA-PWY
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation,PWY-5695
GLUTORN-PWY: L-ornithine biosynthesis,GLUTORN-PWY
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,1CMET2-PWY
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,PWY-7229
HISTSYN-PWY: L-histidine biosynthesis,HISTSYN-PWY
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",PWY-724
CALVIN-PWY: Calvin-Benson-Bassham cycle,CALVIN-PWY
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,PWY-6126
PWY66-422: D-galactose degradation V (Leloir pathway),PWY66-422
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing),PWY0-1586
THRESYN-PWY: superpathway of L-threonine biosynthesis,THRESYN-PWY
ANAEROFRUCAT-PWY: homolactic fermentation,ANAEROFRUCAT-PWY
PWY-6700: queuosine biosynthesis,PWY-6700
PWY-6123: inosine-5'-phosphate biosynthesis I,PWY-6123
PWY-5667: CDP-diacylglycerol biosynthesis I,PWY-5667
PWY0-1319: CDP-diacylglycerol biosynthesis II,PWY0-1319
PWY66-400: glycolysis VI (metazoan),PWY66-400
PWY0-1296: purine ribonucleosides degradation,PWY0-1296
PWY-6124: inosine-5'-phosphate biosynthesis II,PWY-6124
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast),PWY-7357
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I,SER-GLYSYN-PWY
NONMEVIPP-PWY: methylerythritol phosphate pathway I,NONMEVIPP-PWY
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,PWY-7220
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II,PWY-7222
HSERMETANA-PWY: L-methionine biosynthesis III,HSERMETANA-PWY
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),OANTIGEN-PWY
PWY-5100: pyruvate fermentation to acetate and lactate II,PWY-5100
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),GLYCOLYSIS
PWY-6936: seleno-amino acid biosynthesis,PWY-6936
PWY-5484: glycolysis II (from fructose 6-phosphate),PWY-5484
"PWY-7237: myo-, chiro- and scillo-inositol degradation",PWY-7237
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,UDPNAGSYN-PWY
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I,PANTOSYN-PWY
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),PYRIDNUCSYN-PWY
PWY-6317: galactose degradation I (Leloir pathway),PWY-6317
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch),NONOXIPENT-PWY
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),PWY-6471
GLUCONEO-PWY: gluconeogenesis I,GLUCONEO-PWY
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY
PWY-7199: pyrimidine deoxyribonucleosides salvage,PWY-7199
DAPLYSINESYN-PWY: L-lysine biosynthesis I,DAPLYSINESYN-PWY
PWY-6527: stachyose degradation,PWY-6527
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),RIBOSYN2-PWY
PWY-6892: thiazole biosynthesis I (E. coli),PWY-6892
PWY-6270: isoprene biosynthesis I,PWY-6270
PWY-841: superpathway of purine nucleotides de novo biosynthesis I,PWY-841
PWY-6168: flavin biosynthesis III (fungi),PWY-6168
PANTO-PWY: phosphopantothenate biosynthesis I,PANTO-PWY
PWY-7560: methylerythritol phosphate pathway II,PWY-7560
PWY-7234: inosine-5'-phosphate biosynthesis III,PWY-7234
TRPSYN-PWY: L-tryptophan biosynthesis,TRPSYN-PWY
PWY-6901: superpathway of glucose and xylose degradation,PWY-6901
PYRIDNUCSAL-PWY: NAD salvage pathway I,PYRIDNUCSAL-PWY
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,PWY-7187
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),PWY0-166
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes),THISYNARA-PWY
PWY0-1061: superpathway of L-alanine biosynthesis,PWY0-1061
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I,COBALSYN-PWY
