OTU1_gs,OTU2_gs,weight
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Bacteroides.s__Bacteroides_dorei,-0.8651894078220321
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Butyricimonas.s__Butyricimonas_virosa,0.9031086517719832
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,0.9022527805985301
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Bacteroides.s__Bacteroides_dorei,-0.8217643260761157
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium,0.9004946024205017
g__Akkermansia.s__Akkermansia_muciniphila,g__Bacteroides.s__Bacteroides_cellulosilyticus,0.9042071105711317
g__Akkermansia.s__Akkermansia_muciniphila,g__Clostridium.s__Clostridium_sp_CAG_58,-0.11595591235593976
g__Akkermansia.s__Akkermansia_muciniphila,g__Gemmiger.s__Gemmiger_formicilis,0.9046737091777438
g__Alistipes.s__Alistipes_finegoldii,g__Bacteroides.s__Bacteroides_dorei,-0.7942087324577097
g__Alistipes.s__Alistipes_finegoldii,g__Blautia.s__Blautia_hydrogenotrophica,0.903603621907262
g__Alistipes.s__Alistipes_finegoldii,g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139,0.905104917424174
g__Alistipes.s__Alistipes_indistinctus,g__Bacteroides.s__Bacteroides_dorei,-0.5042046360370979
g__Alistipes.s__Alistipes_indistinctus,g__Faecalitalea.s__Faecalitalea_cylindroides,0.8985473797434962
g__Alistipes.s__Alistipes_inops,g__Clostridium.s__Clostridium_sp_CAG_58,-0.04200790190221458
g__Alistipes.s__Alistipes_inops,g__Coprobacter.s__Coprobacter_fastidiosus,0.9025585450630029
g__Alistipes.s__Alistipes_putredinis,g__Barnesiella.s__Barnesiella_intestinihominis,0.9038241909958158
g__Alistipes.s__Alistipes_putredinis,g__Clostridium.s__Clostridium_sp_CAG_58,-0.6690227423507249
g__Alistipes.s__Alistipes_shahii,g__Bacteroides.s__Bacteroides_dorei,-0.6327795669379069
g__Alistipes.s__Alistipes_shahii,g__Bacteroides.s__Bacteroides_sp_CAG_144,0.9031436921484142
g__Alistipes.s__Alistipes_shahii,g__Butyricimonas.s__Butyricimonas_synergistica,0.903245609438789
g__Anaerostipes.s__Anaerostipes_hadrus,g__Clostridium.s__Clostridium_sp_CAG_58,-0.31356391219034224
g__Anaerostipes.s__Anaerostipes_hadrus,g__Parabacteroides.s__Parabacteroides_merdae,0.9036226639888497
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Bacteroides.s__Bacteroides_dorei,-0.7905935403754433
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145,0.9041556746915955
g__Bacteroides.s__Bacteroides_caccae,g__Bacteroides.s__Bacteroides_vulgatus,0.8994609041456344
g__Bacteroides.s__Bacteroides_caccae,g__Clostridium.s__Clostridium_sp_CAG_58,-0.5915871257424125
g__Bacteroides.s__Bacteroides_caccae,g__Phascolarctobacterium.s__Phascolarctobacterium_sp_CAG_266,0.8966568676678611
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Bacteroides.s__Bacteroides_massiliensis,0.8997261144678714
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Clostridium.s__Clostridium_sp_CAG_58,-0.11083884517351886
g__Bacteroides.s__Bacteroides_clarus,g__Clostridium.s__Clostridium_sp_CAG_58,-0.45136427409176766
