OTU1_gs,OTU2_gs,weight
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Gordonibacter.s__Gordonibacter_pamelaeae,0.8963039189825422
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.47229830401734946
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Bacteroides.s__Bacteroides_ovatus,0.9037919201430136
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Roseburia.s__Roseburia_hominis,0.9049563488417299
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.31483748005443357
g__Alistipes.s__Alistipes_finegoldii,g__Bacteroides.s__Bacteroides_fragilis,0.9041595622314146
g__Alistipes.s__Alistipes_finegoldii,g__Coprococcus.s__Coprococcus_catus,0.8969665840635177
g__Alistipes.s__Alistipes_finegoldii,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.013244199542444376
g__Alistipes.s__Alistipes_putredinis,g__Barnesiella.s__Barnesiella_intestinihominis,0.9041312838517348
g__Alistipes.s__Alistipes_putredinis,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.5771925984005806
g__Anaerostipes.s__Anaerostipes_hadrus,g__Bacteroides.s__Bacteroides_caccae,0.9050396303123474
g__Anaerostipes.s__Anaerostipes_hadrus,g__Blautia.s__Blautia_obeum,0.9042731956968743
g__Anaerostipes.s__Anaerostipes_hadrus,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.5266927904080428
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.39483582650801863
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Odoribacter.s__Odoribacter_splanchnicus,0.9008737114590161
g__Asaccharobacter.s__Asaccharobacter_celatus,g__Roseburia.s__Roseburia_inulinivorans,0.9041352529873711
g__Bacteroides.s__Bacteroides_caccae,g__Dorea.s__Dorea_formicigenerans,0.9017674194187385
g__Bacteroides.s__Bacteroides_caccae,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.5262585352334808
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83,0.9041301075059628
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.0017977359356891793
g__Bacteroides.s__Bacteroides_coprocola,g__Eubacterium.s__Eubacterium_hallii,0.9031217410181225
g__Bacteroides.s__Bacteroides_coprocola,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.7922354743884206
g__Bacteroides.s__Bacteroides_eggerthii,g__Erysipelatoclostridium.s__Clostridium_spiroforme,0.9034940793255232
g__Bacteroides.s__Bacteroides_eggerthii,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.896900550459393
g__Bacteroides.s__Bacteroides_eggerthii,g__Streptococcus.s__Streptococcus_thermophilus,0.9045517754367625
g__Bacteroides.s__Bacteroides_fragilis,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.007800472525558556
g__Bacteroides.s__Bacteroides_fragilis,g__Lactobacillus.s__Lactobacillus_gasseri,0.9046911099597866
g__Bacteroides.s__Bacteroides_ovatus,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.321537859108468
g__Bacteroides.s__Bacteroides_stercoris,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,0.8906907601126213
g__Bacteroides.s__Bacteroides_stercoris,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.8570398770202523
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Flavonifractor.s__Flavonifractor_plautii,0.8980487523255535
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Ruminococcus.s__Ruminococcus_bicirculans,0.9005991228259145
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.22700264794674352
g__Bacteroides.s__Bacteroides_uniformis,g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens,0.9033177544612355
g__Bacteroides.s__Bacteroides_uniformis,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.5379933603188114
g__Bacteroides.s__Bacteroides_vulgatus,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,0.8957928798797131
g__Bacteroides.s__Bacteroides_vulgatus,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,0.8867106181574145
g__Bacteroides.s__Bacteroides_vulgatus,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.8867106181574144
g__Barnesiella.s__Barnesiella_intestinihominis,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.573446661646991
g__Bifidobacterium.s__Bifidobacterium_adolescentis,g__Clostridium.s__Clostridium_sp_CAG_242,0.8989196297460543
g__Bifidobacterium.s__Bifidobacterium_adolescentis,g__Ruminococcus.s__Ruminococcus_bicirculans,0.9014671798551436
g__Bifidobacterium.s__Bifidobacterium_adolescentis,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.18427504637729594
g__Bifidobacterium.s__Bifidobacterium_bifidum,g__Lactobacillus.s__Lactobacillus_paragasseri,0.9037796138088167
g__Bifidobacterium.s__Bifidobacterium_bifidum,g__Oscillibacter.s__Oscillibacter_sp_57_20,0.9037626322284504
g__Bifidobacterium.s__Bifidobacterium_bifidum,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.3582354552238632
g__Bifidobacterium.s__Bifidobacterium_dentium,g__Erysipelatoclostridium.s__Clostridium_innocuum,0.9019458546139443
g__Bifidobacterium.s__Bifidobacterium_dentium,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.7597134618228193
g__Bifidobacterium.s__Bifidobacterium_longum,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.1426788981637754
g__Bifidobacterium.s__Bifidobacterium_longum,g__Streptococcus.s__Streptococcus_salivarius,0.9021799237780219
g__Bilophila.s__Bilophila_wadsworthia,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.8206612512811753
g__Bilophila.s__Bilophila_wadsworthia,g__Streptococcus.s__Streptococcus_vestibularis,0.9018619296788956
g__Blautia.s__Blautia_hydrogenotrophica,g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA,0.9033328386873297
g__Blautia.s__Blautia_hydrogenotrophica,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.5749079513842499
g__Blautia.s__Blautia_hydrogenotrophica,g__Lactobacillus.s__Lactobacillus_oris,0.9001181060058256
g__Blautia.s__Blautia_obeum,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,-0.5301678051866813
g__Blautia.s__Blautia_wexlerae,g__Dorea.s__Dorea_sp_CAG_317,0.9044937408420284
g__Blautia.s__Blautia_wexlerae,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.8892962846344362
g__Blautia.s__Ruminococcus_torques,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.6736141153063582
g__Blautia.s__Ruminococcus_torques,g__Lactobacillus.s__Lactobacillus_delbrueckii,0.8913335176626301
g__Butyricimonas.s__Butyricimonas_virosa,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.26336599488076295
g__Butyricimonas.s__Butyricimonas_virosa,g__Ruminococcus.s__Ruminococcus_obeum_CAG_39,0.8993784812447835
g__Butyricimonas.s__Butyricimonas_virosa,g__Streptococcus.s__Streptococcus_mutans,0.902945598892341
g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,-0.5682044531132181
