pathway,Taxonomy,gene
Unnamed: 0,,
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,,
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A6L1Q8
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A076INA9
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_Q8A639
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_Q5LAX0
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_Q8A9S7
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A076J5W7
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A173WIK6
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A6L1Q8
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A0A076INA9
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_Q8A639
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_Q5LAX0
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_Q8A9S7
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A0A076J5W7
1CMET2-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A076INA9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_Q8A639
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A076J5W7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_A0A076INA9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_Q8A639
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_A0A076J5W7
