OTU1_clean,OTU2_clean,weight
1CMET2-PWY,COA-PWY,0.9020486374556046
1CMET2-PWY,GLYCOGENSYNTH-PWY,-0.4385714634878678
1CMET2-PWY,PWY-6121,0.9033725239654805
1CMET2-PWY,PWY-6897,-0.3991095122925154
ANAEROFRUCAT-PWY,GLYCOGENSYNTH-PWY,0.8934123724535673
ANAEROFRUCAT-PWY,PWY-6897,0.9026704787014972
ANAEROFRUCAT-PWY,PWY-7219,-0.8885100403659795
ANAEROFRUCAT-PWY,SER-GLYSYN-PWY,0.8899152871469466
ANAEROFRUCAT-PWY,THISYN-PWY,0.8945863969016841
ANAEROFRUCAT-PWY,TRNA-CHARGING-PWY,-0.8934123724535672
ANAGLYCOLYSIS-PWY,GLYCOGENSYNTH-PWY,-0.29951753880474713
ANAGLYCOLYSIS-PWY,PANTOSYN-PWY,0.90401376923408
ANAGLYCOLYSIS-PWY,PWY-6897,-0.2553410338654898
ANAGLYCOLYSIS-PWY,PWY-7229,0.9011559963958172
ARGSYN-PWY,CALVIN-PWY,0.9028908125941499
ARGSYN-PWY,GLYCOGENSYNTH-PWY,-0.5318631140049113
ARGSYN-PWY,PWY-6897,-0.4966641738237261
ARGSYN-PWY,PWY-7400,0.9050658598255855
ARGSYNBSUB-PWY,COA-PWY,0.9009209792767546
ARGSYNBSUB-PWY,COMPLETE-ARO-PWY,0.9016234053632282
ARGSYNBSUB-PWY,GLYCOGENSYNTH-PWY,-0.4701514750202254
ARGSYNBSUB-PWY,PWY-5103,0.904669934638813
ARGSYNBSUB-PWY,PWY-6897,-0.43203286317342404
ARO-PWY,GLYCOGENSYNTH-PWY,-0.51049371406379
ARO-PWY,PWY-5097,0.904974038661881
ARO-PWY,PWY-5667,0.9022512812795648
ARO-PWY,PWY-6897,-0.47423948499568563
BRANCHED-CHAIN-AA-SYN-PWY,COA-PWY-1,0.9034849426994284
BRANCHED-CHAIN-AA-SYN-PWY,GLYCOGENSYNTH-PWY,-0.567492871752632
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6163,0.8992900825630961
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6897,-0.5341582304423461
CALVIN-PWY,COA-PWY-1,0.8996546069864306
CALVIN-PWY,GLYCOGENSYNTH-PWY,-0.540663627492821
CALVIN-PWY,PWY-6897,-0.5059129663544102
CALVIN-PWY,PWY-7400,0.9028065578685269
