OTU1_clean,OTU2_clean,weight
1CMET2-PWY,DTDPRHAMSYN-PWY,-0.3546325508374766
1CMET2-PWY,PWY-6147,0.9010410295115501
1CMET2-PWY,PWY-7219,-0.4675729075886506
1CMET2-PWY,PWY-7357,0.8940286823252795
ARGSYN-PWY,DTDPRHAMSYN-PWY,-0.5153779074682197
ARGSYN-PWY,PWY-5154,0.8999027117766323
ARGSYN-PWY,PWY-7219,-0.608321280490977
ARGSYN-PWY,PWY-7539,0.9030955866123049
ARGSYN-PWY,PYRIDNUCSYN-PWY,0.9036196344239831
ARGSYNBSUB-PWY,COMPLETE-ARO-PWY,0.9038141661688739
ARGSYNBSUB-PWY,DTDPRHAMSYN-PWY,-0.6644779109580788
ARGSYNBSUB-PWY,PWY-7219,-0.7338483826374669
ARGSYNBSUB-PWY,PWY-7663,0.9031651565423745
ARO-PWY,DTDPRHAMSYN-PWY,-0.7194845318386922
ARO-PWY,PHOSLIPSYN-PWY,0.904102850937344
ARO-PWY,PWY-1269,0.904214045765146
ARO-PWY,PWY-7219,-0.7789922479302015
ASPASN-PWY,DTDPRHAMSYN-PWY,-0.7097769919235171
ASPASN-PWY,PHOSLIPSYN-PWY,0.9025700880542598
ASPASN-PWY,PWY-7199,0.9038741130553906
ASPASN-PWY,PWY-7219,-0.7710698600461121
BRANCHED-CHAIN-AA-SYN-PWY,HISTSYN-PWY,0.9016934035304893
BRANCHED-CHAIN-AA-SYN-PWY,PANTOSYN-PWY,-0.40482208554976423
BRANCHED-CHAIN-AA-SYN-PWY,PWY-5097,0.8971198663117216
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6700,0.8935560474788422
BRANCHED-CHAIN-AA-SYN-PWY,TRPSYN-PWY,-0.3918171814350067
CALVIN-PWY,PWY-5667,0.8837684977340106
CALVIN-PWY,PWY-7219,-0.045071575703143005
CALVIN-PWY,PWY0-1319,0.8837684977340106
COA-PWY-1,DTDPRHAMSYN-PWY,-0.7698177410636757
COA-PWY-1,GLUTORN-PWY,0.902651271979412
COA-PWY-1,PANTO-PWY,0.9004784706808595
COA-PWY-1,PWY-6126,0.8921745286075127
COA-PWY-1,PWY-7219,-0.8197671178245515
COMPLETE-ARO-PWY,DTDPRHAMSYN-PWY,-0.6603622613567022
COMPLETE-ARO-PWY,PWY-7219,-0.7304458558998436
COMPLETE-ARO-PWY,PWY-7229,0.8944679657394218
COMPLETE-ARO-PWY,PWY-7663,0.9018046144783001
DTDPRHAMSYN-PWY,GLUTORN-PWY,-0.7753195395055605
DTDPRHAMSYN-PWY,PANTO-PWY,-0.7593269841786393
DTDPRHAMSYN-PWY,PANTOSYN-PWY,-0.8772653184187221
DTDPRHAMSYN-PWY,PHOSLIPSYN-PWY,-0.7166971376959396
DTDPRHAMSYN-PWY,PWY-1042,0.889785903999992
DTDPRHAMSYN-PWY,PWY-1269,-0.7169933360890773
DTDPRHAMSYN-PWY,PWY-3841,-0.022869958894938428
