OTU1_clean,OTU2_clean,weight
1CMET2-PWY,DTDPRHAMSYN-PWY,-0.33377217521219293
1CMET2-PWY,PANTO-PWY,0.9004454270092056
1CMET2-PWY,PWY-6121,0.9036299515639539
1CMET2-PWY,PWY-6163,0.9050850951468994
1CMET2-PWY,PYRIDNUCSYN-PWY,0.9047701609744707
ANAGLYCOLYSIS-PWY,DTDPRHAMSYN-PWY,-0.28394009622471544
ANAGLYCOLYSIS-PWY,PWY-5667,0.9031009147489157
ANAGLYCOLYSIS-PWY,PWY0-1319,0.9031009147489157
ARGSYN-PWY,DTDPRHAMSYN-PWY,-0.8888365920354928
ARGSYN-PWY,PWY-1042,-0.5716907286203792
ARGSYN-PWY,PWY-7208,0.9000088995911654
ARGSYN-PWY,PWY4FS-7,0.9031747170067156
ARGSYN-PWY,PWY4FS-8,0.9031747170067156
ARGSYN-PWY,TRPSYN-PWY,0.8888365920354928
ARO-PWY,COA-PWY,0.904563886301006
ARO-PWY,DTDPRHAMSYN-PWY,-0.6275340865239744
ARO-PWY,PWY-6123,0.9025725446046051
ARO-PWY,PWY-7357,0.9011577827107279
ASPASN-PWY,DTDPRHAMSYN-PWY,-0.17456762740528947
ASPASN-PWY,PWY-3841,0.9014534450234736
ASPASN-PWY,PWY-7199,0.8879008724058625
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6387,0.904429865507489
BRANCHED-CHAIN-AA-SYN-PWY,PWY-7111,0.9034260482601087
BRANCHED-CHAIN-AA-SYN-PWY,PWY-7208,-0.330251018294027
BRANCHED-CHAIN-AA-SYN-PWY,TRPSYN-PWY,-0.3791090614571113
CALVIN-PWY,DTDPRHAMSYN-PWY,-0.733851328421343
CALVIN-PWY,PHOSLIPSYN-PWY,0.8994380664008413
CALVIN-PWY,PWY-1042,-0.16905720176584896
CALVIN-PWY,THISYN-PWY,0.9038599966720787
COA-PWY,DTDPRHAMSYN-PWY,-0.6294847450420471
COA-PWY,PWY-6123,0.9019731252002154
COA-PWY,PWY-7663,0.900513871451304
COA-PWY-1,DTDPRHAMSYN-PWY,-0.2607653200582115
COA-PWY-1,PWY-7199,0.9047001805752459
COA-PWY-1,PWY0-1319,0.9026197821281352
COMPLETE-ARO-PWY,DTDPRHAMSYN-PWY,-0.5742496807041909
COMPLETE-ARO-PWY,PANTOSYN-PWY,0.8965165899204199
COMPLETE-ARO-PWY,PWY-7357,0.8933258751145271
DENOVOPURINE2-PWY,DTDPRHAMSYN-PWY,-0.7646055774544396
DENOVOPURINE2-PWY,PWY-1042,-0.23632987214233778
DENOVOPURINE2-PWY,PWY-6168,0.9003772394123981
DENOVOPURINE2-PWY,PWY-6703,0.8998730274654068
DENOVOPURINE2-PWY,THRESYN-PWY,0.8985739744773473
DTDPRHAMSYN-PWY,GLUTORN-PWY,-0.873077643267184
DTDPRHAMSYN-PWY,PANTO-PWY,-0.3561752463746959
DTDPRHAMSYN-PWY,PANTOSYN-PWY,-0.5427331553807737
DTDPRHAMSYN-PWY,PHOSLIPSYN-PWY,-0.7193479903968087
DTDPRHAMSYN-PWY,PWY-1042,0.6253074910479304
DTDPRHAMSYN-PWY,PWY-1269,-0.3835563796934389
DTDPRHAMSYN-PWY,PWY-3001,-0.5296936829043734
DTDPRHAMSYN-PWY,PWY-3841,-0.15503602178409545
DTDPRHAMSYN-PWY,PWY-4242,-0.6816724359876599
DTDPRHAMSYN-PWY,PWY-5154,-0.855102508365889
DTDPRHAMSYN-PWY,PWY-5667,-0.27359668328628134
DTDPRHAMSYN-PWY,PWY-5973,-0.505367072204051
DTDPRHAMSYN-PWY,PWY-6121,-0.3263418373387954
DTDPRHAMSYN-PWY,PWY-6123,-0.6189276332383724
DTDPRHAMSYN-PWY,PWY-6124,-0.6936604383957485
DTDPRHAMSYN-PWY,PWY-6125,-0.8558701719649936
