OTU1_gs,OTU2_gs,weight
g__Alistipes.s__Alistipes_finegoldii,g__Parabacteroides.s__Parabacteroides_goldsteinii,0.900281278905185
g__Alistipes.s__Alistipes_finegoldii,g__Prevotella.s__Prevotella_copri,-0.8405735667588488
g__Alistipes.s__Alistipes_putredinis,g__Oscillibacter.s__Oscillibacter_sp_57_20,0.9019625382745508
g__Alistipes.s__Alistipes_putredinis,g__Prevotella.s__Prevotella_copri,-0.43381063114238483
g__Alistipes.s__Alistipes_shahii,g__Paraprevotella.s__Paraprevotella_clara,0.9011374851872102
g__Alistipes.s__Alistipes_shahii,g__Prevotella.s__Prevotella_copri,-0.5289680720702169
g__Anaerostipes.s__Anaerostipes_hadrus,g__Bacteroides.s__Bacteroides_dorei,0.9030575999707627
g__Anaerostipes.s__Anaerostipes_hadrus,g__Prevotella.s__Prevotella_copri,-0.7950977400610281
g__Bacteroides.s__Bacteroides_caccae,g__Collinsella.s__Collinsella_aerofaciens,0.9008101418623875
g__Bacteroides.s__Bacteroides_caccae,g__Prevotella.s__Prevotella_copri,-0.7608806382964971
g__Bacteroides.s__Bacteroides_coprocola,g__Bacteroides.s__Bacteroides_intestinalis,0.8952028490786376
g__Bacteroides.s__Bacteroides_coprocola,g__Coprococcus.s__Coprococcus_catus,-0.16191070251506143
g__Bacteroides.s__Bacteroides_dorei,g__Bacteroides.s__Bacteroides_ovatus,0.9037330982445274
g__Bacteroides.s__Bacteroides_dorei,g__Prevotella.s__Prevotella_copri,-0.7908477272425766
g__Bacteroides.s__Bacteroides_eggerthii,g__Prevotella.s__Prevotella_copri,-0.8714261965436516
g__Bacteroides.s__Bacteroides_eggerthii,g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans,0.9004474634728571
g__Bacteroides.s__Bacteroides_finegoldii,g__Prevotella.s__Prevotella_copri,-0.8938947095239614
g__Bacteroides.s__Bacteroides_finegoldii,g__Turicibacter.s__Turicibacter_sanguinis,0.9047608602102757
g__Bacteroides.s__Bacteroides_intestinalis,g__Coprococcus.s__Coprococcus_catus,-0.11042337925381877
g__Bacteroides.s__Bacteroides_intestinalis,g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95,0.8983165798454833
g__Bacteroides.s__Bacteroides_massiliensis,g__Bacteroides.s__Bacteroides_stercoris,0.8994213504300723
g__Bacteroides.s__Bacteroides_massiliensis,g__Dorea.s__Dorea_longicatena,0.9019696595490598
g__Bacteroides.s__Bacteroides_massiliensis,g__Prevotella.s__Prevotella_copri,-0.6461839348648575
g__Bacteroides.s__Bacteroides_ovatus,g__Prevotella.s__Prevotella_copri,-0.7879170856838246
g__Bacteroides.s__Bacteroides_plebeius,g__Coprococcus.s__Coprococcus_catus,-0.38487339854836516
g__Bacteroides.s__Bacteroides_plebeius,g__Ruminococcus.s__Ruminococcus_bromii,0.8999383256951027
g__Bacteroides.s__Bacteroides_salyersiae,g__Eubacterium.s__Eubacterium_ramulus,0.9037046215756432
g__Bacteroides.s__Bacteroides_salyersiae,g__Holdemanella.s__Holdemanella_biformis,0.9047600549661959
g__Bacteroides.s__Bacteroides_salyersiae,g__Prevotella.s__Prevotella_copri,-0.883186968711188
g__Bacteroides.s__Bacteroides_sp_OM05_12,g__Blautia.s__Ruminococcus_torques,0.8991233240702858
g__Bacteroides.s__Bacteroides_sp_OM05_12,g__Prevotella.s__Prevotella_copri,-0.3475300284479338
g__Bacteroides.s__Bacteroides_stercoris,g__Prevotella.s__Prevotella_copri,-0.6278754702824036
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Eubacterium.s__Eubacterium_sp_CAG_38,0.9047437123636488
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Prevotella.s__Prevotella_copri,-0.27531999575262184
g__Bacteroides.s__Bacteroides_thetaiotaomicron,g__Roseburia.s__Roseburia_hominis,0.9048274123058109
g__Bacteroides.s__Bacteroides_uniformis,g__Coprococcus.s__Coprococcus_catus,-0.5390719331109478
g__Bacteroides.s__Bacteroides_uniformis,g__Roseburia.s__Roseburia_faecis,0.9018245854479335
g__Bacteroides.s__Bacteroides_vulgatus,g__Coprococcus.s__Coprococcus_catus,-0.25300086130853294
g__Bacteroides.s__Bacteroides_vulgatus,g__Dialister.s__Dialister_sp_CAG_357,0.903967069643177
g__Bacteroides.s__Bacteroides_vulgatus,g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,0.898467366107655
g__Bacteroides.s__Bacteroides_xylanisolvens,g__Paraprevotella.s__Paraprevotella_xylaniphila,0.9032922761951759
g__Bacteroides.s__Bacteroides_xylanisolvens,g__Prevotella.s__Prevotella_copri,-0.4015262726117382
g__Barnesiella.s__Barnesiella_intestinihominis,g__Oxalobacter.s__Oxalobacter_formigenes,0.9037341594279701
g__Barnesiella.s__Barnesiella_intestinihominis,g__Prevotella.s__Prevotella_copri,-0.605380589627068
g__Bifidobacterium.s__Bifidobacterium_longum,g__Flavonifractor.s__Flavonifractor_plautii,0.9030568544853695
g__Bifidobacterium.s__Bifidobacterium_longum,g__Prevotella.s__Prevotella_copri,-0.8975595712962923
g__Blautia.s__Blautia_obeum,g__Blautia.s__Blautia_wexlerae,0.9004271813441401
g__Blautia.s__Blautia_obeum,g__Prevotella.s__Prevotella_copri,-0.8157396370589269
