OTU1_gs,OTU2_gs,weight
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Bacteroides.s__Bacteroides_plebeius,-0.7156903110340158
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Coprobacter.s__Coprobacter_fastidiosus,0.902770538179111
g__Alistipes.s__Alistipes_finegoldii,g__Bacteroides.s__Bacteroides_plebeius,-0.6210814953506133
g__Alistipes.s__Alistipes_finegoldii,g__Flavonifractor.s__Flavonifractor_plautii,0.9000007378091723
g__Alistipes.s__Alistipes_putredinis,g__Bacteroides.s__Bacteroides_vulgatus,0.9033200234545397
g__Alistipes.s__Alistipes_putredinis,g__Turicimonas.s__Turicimonas_muris,-0.7933814335669397
g__Alistipes.s__Alistipes_shahii,g__Bacteroides.s__Bacteroides_plebeius,-0.4112859047316042
g__Alistipes.s__Alistipes_shahii,g__Butyricimonas.s__Butyricimonas_synergistica,0.9040172739270886
g__Alistipes.s__Alistipes_shahii,g__Parabacteroides.s__Parabacteroides_goldsteinii,0.9041238317277553
g__Anaerostipes.s__Anaerostipes_hadrus,g__Bacteroides.s__Bacteroides_plebeius,-0.8935179622254991
g__Anaerostipes.s__Anaerostipes_hadrus,g__Clostridium.s__Clostridium_sp_CAG_242,0.8977235322233139
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528,g__Bacteroides.s__Bacteroides_plebeius,0.80281439279804
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528,g__Bacteroides.s__Bacteroides_vulgatus,0.9022218033547237
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528,g__Turicimonas.s__Turicimonas_muris,-0.80281439279804
g__Bacteroides.s__Bacteroides_caccae,g__Bacteroides.s__Bacteroides_plebeius,-0.04060064048960496
g__Bacteroides.s__Bacteroides_caccae,g__Ruminococcus.s__Ruminococcus_bicirculans,0.9023265229195765
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Bacteroides.s__Bacteroides_coprophilus,0.9047770295404292
g__Bacteroides.s__Bacteroides_cellulosilyticus,g__Turicimonas.s__Turicimonas_muris,-0.40061793977273774
g__Bacteroides.s__Bacteroides_coprophilus,g__Oscillibacter.s__Oscillibacter_sp_57_20,0.9048658988490166
g__Bacteroides.s__Bacteroides_coprophilus,g__Turicimonas.s__Turicimonas_muris,-0.3988951368796374
g__Bacteroides.s__Bacteroides_dorei,g__Bacteroides.s__Bacteroides_massiliensis,0.9039963358557
g__Bacteroides.s__Bacteroides_dorei,g__Turicimonas.s__Turicimonas_muris,-0.20991680786628134
g__Bacteroides.s__Bacteroides_eggerthii,g__Bacteroides.s__Bacteroides_plebeius,-0.8045591192887476
