OTU1_gs,OTU2_gs,weight
g__Actinomyces.s__Actinomyces_sp_oral_taxon_897,g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,0.9045940433969354
g__Actinomyces.s__Actinomyces_sp_oral_taxon_897,g__Bacteroides.s__Bacteroides_vulgatus,-0.9045940433969353
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Bacteroides.s__Bacteroides_vulgatus,-0.4148607993605012
g__Agathobaculum.s__Agathobaculum_butyriciproducens,g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans,0.9040147884897686
g__Aggregatibacter.s__Aggregatibacter_segnis,g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,-0.3714047449049238
g__Aggregatibacter.s__Aggregatibacter_segnis,g__Blautia.s__Ruminococcus_gnavus,0.9024244195379753
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Anaerostipes.s__Anaerostipes_hadrus,-0.5381977740564164
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Bacteroides.s__Bacteroides_dorei,-0.13811102310543222
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Bacteroides.s__Bacteroides_fragilis,-0.289047773968706
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Bacteroides.s__Bacteroides_plebeius,-0.7187106451202661
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Bacteroides.s__Bacteroides_vulgatus,-0.9051482536448665
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Blautia.s__Ruminococcus_gnavus,-0.3585144377145822
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Blautia.s__Ruminococcus_torques,-0.3331709146308302
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum,-0.5021710814694725
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Escherichia.s__Escherichia_coli,-0.6543801312624852
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Eubacterium.s__Eubacterium_eligens,-0.11375515296975104
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,-0.0017026007581244277
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Fusobacterium.s__Fusobacterium_mortiferum,-0.8986225718465517
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Haemophilus.s__Haemophilus_haemolyticus,-0.06667779689179096
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,g__Haemophilus.s__Haemophilus_parainfluenzae,-0.2958998378200714
