OTU1_clean,OTU2_clean,weight
1CMET2-PWY,DTDPRHAMSYN-PWY,-0.30555797744481344
1CMET2-PWY,PWY-4242,0.9033938862697952
1CMET2-PWY,PWY-5973,0.9014784503807193
1CMET2-PWY,PWY-7199,0.9021074272326157
ANAEROFRUCAT-PWY,DTDPRHAMSYN-PWY,-0.7985831895382405
ANAEROFRUCAT-PWY,OANTIGEN-PWY,0.8975090115620405
ANAEROFRUCAT-PWY,PWY-6123,0.8958370974602518
ANAEROFRUCAT-PWY,PWY-6386,-0.0982033113549251
ANAGLYCOLYSIS-PWY,DTDPRHAMSYN-PWY,-0.4381604012058257
ANAGLYCOLYSIS-PWY,PANTO-PWY,0.9045187031864935
ANAGLYCOLYSIS-PWY,PWY-724,0.9041435460298977
ANAGLYCOLYSIS-PWY,PWY0-1296,0.9026911413230371
ARGSYN-PWY,DTDPRHAMSYN-PWY,-0.40815816042908476
ARGSYN-PWY,PWY-3001,0.9040636809150806
ARGSYN-PWY,PWY-7237,0.9042845298472852
ARGSYNBSUB-PWY,DTDPRHAMSYN-PWY,-0.4730635612828829
ARGSYNBSUB-PWY,PHOSLIPSYN-PWY,0.9050393364197596
ARGSYNBSUB-PWY,PWY-7663,0.9011239974538843
ARO-PWY,COMPLETE-ARO-PWY,0.9037413853695866
ARO-PWY,DTDPRHAMSYN-PWY,-0.15223440255092843
ARO-PWY,PWY-2942,0.9036219643318028
ASPASN-PWY,DTDPRHAMSYN-PWY,-0.6657762286311474
ASPASN-PWY,PWY-6168,0.9019917181676341
ASPASN-PWY,PWY-6703,0.9039059472597777
BRANCHED-CHAIN-AA-SYN-PWY,GLYCOGENSYNTH-PWY,-0.15964860103382786
BRANCHED-CHAIN-AA-SYN-PWY,NONOXIPENT-PWY,-0.16959712235143187
BRANCHED-CHAIN-AA-SYN-PWY,PWY-5695,0.9022410448258298
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6151,0.9035084010323144
CALVIN-PWY,DTDPRHAMSYN-PWY,-0.25547186366077307
CALVIN-PWY,PWY-6121,0.9025410696374869
CALVIN-PWY,PWY0-1586,0.9016223329943988
COA-PWY,DTDPRHAMSYN-PWY,-0.19585428798866888
COA-PWY,HISTSYN-PWY,0.9046321608562653
COA-PWY,PWY-2942,0.8983093112690508
COA-PWY-1,DTDPRHAMSYN-PWY,-0.05076002919343619
COA-PWY-1,PWY-3841,0.898094749177113
COA-PWY-1,PWY-5667,0.8967855578808033
COA-PWY-1,PWY0-1319,0.8967855578808033
COMPLETE-ARO-PWY,DTDPRHAMSYN-PWY,-0.15977725178999352
COMPLETE-ARO-PWY,PWY-2942,0.9050304909353973
DENOVOPURINE2-PWY,DTDPRHAMSYN-PWY,-0.855980179245902
DENOVOPURINE2-PWY,HSERMETANA-PWY,0.9024409834898792
DENOVOPURINE2-PWY,PWY-6124,0.8948501527219115
DENOVOPURINE2-PWY,PWY-6386,-0.2747000601978841
DENOVOPURINE2-PWY,PWY-6527,0.8988973480804752
DTDPRHAMSYN-PWY,GLUTORN-PWY,-0.4976627973883509
DTDPRHAMSYN-PWY,GLYCOGENSYNTH-PWY,-0.9032831970036531
DTDPRHAMSYN-PWY,HISTSYN-PWY,-0.19311342183560737
DTDPRHAMSYN-PWY,HSERMETANA-PWY,-0.8598817816617019
DTDPRHAMSYN-PWY,NONOXIPENT-PWY,-0.9051482536448665
DTDPRHAMSYN-PWY,OANTIGEN-PWY,-0.7833373858602113
DTDPRHAMSYN-PWY,PANTO-PWY,-0.4409622740013928
DTDPRHAMSYN-PWY,PANTOSYN-PWY,-0.34941388033673026
DTDPRHAMSYN-PWY,PHOSLIPSYN-PWY,-0.47259583789161747
DTDPRHAMSYN-PWY,PWY-2942,-0.16041185375324532
DTDPRHAMSYN-PWY,PWY-3001,-0.4031710594421037
DTDPRHAMSYN-PWY,PWY-3841,-0.013084160949284962
DTDPRHAMSYN-PWY,PWY-4242,-0.29680697365910624
DTDPRHAMSYN-PWY,PWY-5154,-0.5101243161868136
DTDPRHAMSYN-PWY,PWY-5667,-0.09496311176823705
DTDPRHAMSYN-PWY,PWY-5973,-0.32352813742206266
DTDPRHAMSYN-PWY,PWY-6121,-0.24211102124633904
DTDPRHAMSYN-PWY,PWY-6123,-0.8157429747817092
DTDPRHAMSYN-PWY,PWY-6124,-0.8698235744530958
DTDPRHAMSYN-PWY,PWY-6126,-0.6490029313864816
DTDPRHAMSYN-PWY,PWY-6147,-0.6940260422643486
DTDPRHAMSYN-PWY,PWY-6168,-0.6560917010945275
DTDPRHAMSYN-PWY,PWY-6317,-0.8458974344193849
DTDPRHAMSYN-PWY,PWY-6386,0.46512532778933685
DTDPRHAMSYN-PWY,PWY-6387,0.46359142928166686
DTDPRHAMSYN-PWY,PWY-6527,-0.8467496540733183
DTDPRHAMSYN-PWY,PWY-6703,-0.6695627770923088
DTDPRHAMSYN-PWY,PWY-6897,-0.5563762593558472
DTDPRHAMSYN-PWY,PWY-7199,-0.3205096814968163
DTDPRHAMSYN-PWY,PWY-7229,-0.5288326878688722
DTDPRHAMSYN-PWY,PWY-7237,-0.40418416420782766
DTDPRHAMSYN-PWY,PWY-724,-0.44261956804718433
DTDPRHAMSYN-PWY,PWY-7357,-0.5018423821444437
DTDPRHAMSYN-PWY,PWY-7400,-0.3978211177731224
DTDPRHAMSYN-PWY,PWY-7539,-0.711457479706426
DTDPRHAMSYN-PWY,PWY-7663,-0.45594243689866376
DTDPRHAMSYN-PWY,PWY-841,-0.8417889184821332
DTDPRHAMSYN-PWY,PWY0-1296,-0.42724294065654744
DTDPRHAMSYN-PWY,PWY0-1319,-0.09496311176823705
DTDPRHAMSYN-PWY,PWY0-1586,-0.27330637717264805
DTDPRHAMSYN-PWY,PWY4FS-7,-0.695056941611742
DTDPRHAMSYN-PWY,PWY4FS-8,-0.695056941611742
DTDPRHAMSYN-PWY,PWY66-422,-0.8458974344193849
DTDPRHAMSYN-PWY,PYRIDNUCSYN-PWY,-0.6258583028107814
DTDPRHAMSYN-PWY,THISYN-PWY,-0.6945342311178062
DTDPRHAMSYN-PWY,THISYNARA-PWY,-0.8947979033042274
DTDPRHAMSYN-PWY,THRESYN-PWY,-0.6443538809037807
DTDPRHAMSYN-PWY,TRPSYN-PWY,-0.689289507050236
GLUTORN-PWY,PWY-5154,0.9020838494958336
GLUTORN-PWY,PWY-7357,0.9041364512176985
GLYCOGENSYNTH-PWY,ILEUSYN-PWY,-0.35819327178467814
GLYCOGENSYNTH-PWY,NONOXIPENT-PWY,0.9032831970036531
GLYCOGENSYNTH-PWY,PEPTIDOGLYCANSYN-PWY,-0.44283126747842233
GLYCOGENSYNTH-PWY,PWY-1042,-0.4551575889083396
GLYCOGENSYNTH-PWY,PWY-5097,-0.044159652680689616
GLYCOGENSYNTH-PWY,PWY-5103,-0.1168834008527138
GLYCOGENSYNTH-PWY,PWY-5686,-0.3911401291854475
GLYCOGENSYNTH-PWY,PWY-5695,-0.17506251026091207
GLYCOGENSYNTH-PWY,PWY-6122,-0.10062484845740186
GLYCOGENSYNTH-PWY,PWY-6151,-0.15086465083032952
