OTU1_clean,OTU2_clean,weight
1CMET2-PWY,ANAEROFRUCAT-PWY,-0.6529375969023243
1CMET2-PWY,GLYCOGENSYNTH-PWY,-0.6657907720568006
1CMET2-PWY,PWY-6122,0.8945171696943223
1CMET2-PWY,PWY-6277,0.8945171696943223
ANAEROFRUCAT-PWY,ARGININE-SYN4-PWY,-0.074314877216646
ANAEROFRUCAT-PWY,ARO-PWY,-0.3598099357131477
ANAEROFRUCAT-PWY,BRANCHED-CHAIN-AA-SYN-PWY,-0.24443508084188995
ANAEROFRUCAT-PWY,CALVIN-PWY,-0.16691460019619395
ANAEROFRUCAT-PWY,COA-PWY,-0.48824468751468164
ANAEROFRUCAT-PWY,COA-PWY-1,-0.7040243384083426
ANAEROFRUCAT-PWY,COMPLETE-ARO-PWY,-0.35211700271484614
ANAEROFRUCAT-PWY,DTDPRHAMSYN-PWY,-0.8518156318610051
ANAEROFRUCAT-PWY,GLYCOGENSYNTH-PWY,0.9009530576592024
ANAEROFRUCAT-PWY,HISTSYN-PWY,-0.4285984219316435
ANAEROFRUCAT-PWY,ILEUSYN-PWY,-0.7974247356796433
ANAEROFRUCAT-PWY,PANTO-PWY,-0.3199116426358951
ANAEROFRUCAT-PWY,PANTOSYN-PWY,-0.34771979540934944
ANAEROFRUCAT-PWY,PEPTIDOGLYCANSYN-PWY,-0.7822851647455564
ANAEROFRUCAT-PWY,PWY-1042,-0.8301267372622583
ANAEROFRUCAT-PWY,PWY-2942,-0.5985925832756813
ANAEROFRUCAT-PWY,PWY-3001,-0.2086534227051257
ANAEROFRUCAT-PWY,PWY-3841,-0.7351697942088984
ANAEROFRUCAT-PWY,PWY-4242,-0.5241518804333319
ANAEROFRUCAT-PWY,PWY-5097,-0.7001632588549483
ANAEROFRUCAT-PWY,PWY-5667,-0.7278753403925509
ANAEROFRUCAT-PWY,PWY-5686,-0.9009530576592023
ANAEROFRUCAT-PWY,PWY-5695,-0.7605720811653415
ANAEROFRUCAT-PWY,PWY-5973,-0.432940068097905
ANAEROFRUCAT-PWY,PWY-6121,-0.5508506461644034
ANAEROFRUCAT-PWY,PWY-6122,-0.6196815311297206
ANAEROFRUCAT-PWY,PWY-6151,-0.5699947279423904
ANAEROFRUCAT-PWY,PWY-6163,-0.557810040461943
ANAEROFRUCAT-PWY,PWY-6277,-0.6196815311297206
ANAEROFRUCAT-PWY,PWY-6385,-0.7822851647455564
ANAEROFRUCAT-PWY,PWY-6386,-0.7819364911336731
ANAEROFRUCAT-PWY,PWY-6387,-0.7895872466992866
ANAEROFRUCAT-PWY,PWY-6609,-0.8345480216020037
ANAEROFRUCAT-PWY,PWY-6700,-0.6923616610538881
ANAEROFRUCAT-PWY,PWY-6703,-0.45932383631437357
