OTU1_clean,OTU2_clean,weight
1CMET2-PWY,HSERMETANA-PWY,-0.2566272239899757
1CMET2-PWY,PWY-5667,0.9014158754757311
1CMET2-PWY,PWY-6151,0.9012801309465229
1CMET2-PWY,PWY-6936,-0.35584612285210304
1CMET2-PWY,PWY0-1319,0.9014158754757311
1CMET2-PWY,RIBOSYN2-PWY,0.9035171903832708
ANAEROFRUCAT-PWY,ARGSYNBSUB-PWY,0.9038461423404843
ANAEROFRUCAT-PWY,CALVIN-PWY,0.899358257116596
ANAEROFRUCAT-PWY,DTDPRHAMSYN-PWY,-0.39198278307316714
ANAEROFRUCAT-PWY,PWY-6737,-0.5663186365234607
ANAEROFRUCAT-PWY,PWY-6897,0.9000123894528952
ANAGLYCOLYSIS-PWY,HSERMETANA-PWY,-0.01956369410664074
ANAGLYCOLYSIS-PWY,PANTOSYN-PWY,0.902208192359752
ANAGLYCOLYSIS-PWY,PWY-5973,0.9030037014617696
ANAGLYCOLYSIS-PWY,PWY-6936,-0.12847936034967258
ANAGLYCOLYSIS-PWY,PWY-7199,0.8996662853248867
ARGININE-SYN4-PWY,DTDPRHAMSYN-PWY,-0.6156665185993986
ARGININE-SYN4-PWY,PWY-6147,0.902426396787572
ARGININE-SYN4-PWY,PWY-6317,0.8983620392898539
ARGININE-SYN4-PWY,PWY-6737,-0.7379404363473648
ARGININE-SYN4-PWY,PWY-7539,0.8989636487892786
ARGININE-SYN4-PWY,PWY66-422,0.8983620392898539
ARGSYN-PWY,DTDPRHAMSYN-PWY,-0.21994877529865212
ARGSYN-PWY,PWY-6737,-0.42317085092573153
ARGSYN-PWY,PWY-7400,0.902138373634143
ARGSYN-PWY,THISYN-PWY,0.8923900686921286
ARGSYN-PWY,THISYNARA-PWY,0.9024883853214066
ARGSYNBSUB-PWY,DTDPRHAMSYN-PWY,-0.3859067404213976
ARGSYNBSUB-PWY,PWY-6737,-0.5614358713120792
ARGSYNBSUB-PWY,PWY-6897,0.8986435246648372
ARO-PWY,COA-PWY,0.9015623492678017
ARO-PWY,HSERMETANA-PWY,-0.33572298799336897
ARO-PWY,PWY-4242,0.9008936568441533
ARO-PWY,PWY-6936,-0.429180370462112
ASPASN-PWY,DTDPRHAMSYN-PWY,-0.7334620837641598
ASPASN-PWY,PWY-5030,0.9017267552483672
ASPASN-PWY,PWY-6527,0.9026505992942333
ASPASN-PWY,PWY-6737,-0.8223798669242254
ASPASN-PWY,PWY-7208,0.8966638551036794
ASPASN-PWY,PWY0-166,0.9048430261781526
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6936,-0.0763846778909544
BRANCHED-CHAIN-AA-SYN-PWY,PWY-7199,0.9008807580022804
BRANCHED-CHAIN-AA-SYN-PWY,PWY-841,0.9003139492161711
CALVIN-PWY,DTDPRHAMSYN-PWY,-0.4180184761922471
CALVIN-PWY,PWY-6737,-0.5871035101848743
CALVIN-PWY,PWY-6897,0.9045260324736195
COA-PWY,HSERMETANA-PWY,-0.3183125216534437
COA-PWY,PWY-4242,0.8971555887832502
COA-PWY,PWY-6123,0.9043460563698209
COA-PWY,PWY-6936,-0.41314319524521265
COA-PWY,PWY0-1586,0.9036286162338014
COA-PWY-1,HSERMETANA-PWY,-0.487023939677013
COA-PWY-1,PWY-6121,0.9001771672147942
COA-PWY-1,PWY-6700,0.8992018018864147
COA-PWY-1,PWY-6936,-0.5661093797531692
COA-PWY-1,TRNA-CHARGING-PWY,0.9042903261509369
COBALSYN-PWY,DTDPRHAMSYN-PWY,-0.6934085450202143
COBALSYN-PWY,GLUTORN-PWY,0.8968764790740463
COBALSYN-PWY,PHOSLIPSYN-PWY,0.9001577547514832
COBALSYN-PWY,PWY-6737,-0.7941011780599876
COMPLETE-ARO-PWY,HSERMETANA-PWY,-0.19693568926141805
COMPLETE-ARO-PWY,PANTO-PWY,0.9015453423972237
COMPLETE-ARO-PWY,PWY-5097,0.901181621212995
COMPLETE-ARO-PWY,PWY-6124,0.9041553745800313
COMPLETE-ARO-PWY,PWY-6936,-0.29968162499541806
DENOVOPURINE2-PWY,PWY-3001,0.8995136087987811
DENOVOPURINE2-PWY,PWY-5103,0.8960254452267781
DENOVOPURINE2-PWY,PWY-6737,-0.13161716615901933
DENOVOPURINE2-PWY,THRESYN-PWY,0.9036529258201763
DTDPRHAMSYN-PWY,GLUTORN-PWY,-0.6698712077462241
DTDPRHAMSYN-PWY,GLYCOLYSIS,-0.4474686913121205
DTDPRHAMSYN-PWY,HISDEG-PWY,-0.511922153966175
DTDPRHAMSYN-PWY,HSERMETANA-PWY,-0.8218291931137152
DTDPRHAMSYN-PWY,PHOSLIPSYN-PWY,-0.6791537985785351
DTDPRHAMSYN-PWY,PWY-5030,-0.7247422921988287
DTDPRHAMSYN-PWY,PWY-5154,-0.4572054639865332
DTDPRHAMSYN-PWY,PWY-5484,-0.5482746818584626
DTDPRHAMSYN-PWY,PWY-5686,0.8401579892832182
DTDPRHAMSYN-PWY,PWY-6125,-0.011251888097939849
DTDPRHAMSYN-PWY,PWY-6147,-0.6248100715496846
DTDPRHAMSYN-PWY,PWY-6168,-0.14139831410994916
DTDPRHAMSYN-PWY,PWY-6317,-0.5925981109439888
DTDPRHAMSYN-PWY,PWY-6527,-0.739706693612614
DTDPRHAMSYN-PWY,PWY-6703,-0.4681783413134896
DTDPRHAMSYN-PWY,PWY-6737,0.8543533759053875
DTDPRHAMSYN-PWY,PWY-6897,-0.41518164219483866
DTDPRHAMSYN-PWY,PWY-6936,-0.8543533759053877
DTDPRHAMSYN-PWY,PWY-7184,-0.7776142663926204
DTDPRHAMSYN-PWY,PWY-7187,-0.8071496811065526
DTDPRHAMSYN-PWY,PWY-7208,-0.7536053966916514
DTDPRHAMSYN-PWY,PWY-7220,-0.49760687804901216
DTDPRHAMSYN-PWY,PWY-7222,-0.49760687804901216
DTDPRHAMSYN-PWY,PWY-7237,-0.666841605074974
DTDPRHAMSYN-PWY,PWY-7282,-0.7947287862077255
DTDPRHAMSYN-PWY,PWY-7357,-0.5385368137224569
DTDPRHAMSYN-PWY,PWY-7400,-0.2042772470977489
DTDPRHAMSYN-PWY,PWY-7539,-0.6358670008645498
DTDPRHAMSYN-PWY,PWY0-166,-0.732681899969129
DTDPRHAMSYN-PWY,PWY66-422,-0.5925981109439888
DTDPRHAMSYN-PWY,PYRIDNUCSYN-PWY,-0.09455350387570405
DTDPRHAMSYN-PWY,SER-GLYSYN-PWY,-0.5520556567577607
DTDPRHAMSYN-PWY,THISYN-PWY,-0.2821907744589955
DTDPRHAMSYN-PWY,THISYNARA-PWY,-0.20608145474422207
GLUTORN-PWY,PHOSLIPSYN-PWY,0.9020225318732995
GLUTORN-PWY,PWY-6737,-0.7772774054800287
GLUTORN-PWY,PWY-7237,0.904153866937453
GLYCOLYSIS,PWY-5154,0.9029114169034339
GLYCOLYSIS,PWY-6703,0.9002991121465208
GLYCOLYSIS,PWY-6737,-0.6103485977026261
HISDEG-PWY,PWY-6737,-0.6602614820360894
HISDEG-PWY,PWY-7220,0.9016157639626543
HISDEG-PWY,PWY-7222,0.9016157639626543
HISTSYN-PWY,HSERMETANA-PWY,-0.04724852080773257
HISTSYN-PWY,PANTOSYN-PWY,0.9030146875516939
HISTSYN-PWY,PWY-2942,0.9016999989001513
HISTSYN-PWY,PWY-6936,-0.1556357040472833
HISTSYN-PWY,PWY-7229,0.9031313863890147
HSERMETANA-PWY,ILEUSYN-PWY,-0.6325311830521292
HSERMETANA-PWY,PANTO-PWY,-0.17803789425865743
HSERMETANA-PWY,PANTOSYN-PWY,-0.03558621243388179
HSERMETANA-PWY,PEPTIDOGLYCANSYN-PWY,-0.5727730633211904
HSERMETANA-PWY,PWY-1042,-0.6365214784620394
HSERMETANA-PWY,PWY-2942,-0.06594813948088847
HSERMETANA-PWY,PWY-3841,-0.41394096405280245
HSERMETANA-PWY,PWY-4242,-0.3560205404297756
