original_name,cleaned_name
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,DTDPRHAMSYN-PWY
PWY-1042: glycolysis IV (plant cytosol),PWY-1042
PWY-6737: starch degradation V,PWY-6737
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),ILEUSYN-PWY
PWY-7111: pyruvate fermentation to isobutanol (engineered),PWY-7111
VALSYN-PWY: L-valine biosynthesis,VALSYN-PWY
PWY-5686: UMP biosynthesis,PWY-5686
PWY-7221: guanosine ribonucleotides de novo biosynthesis,PWY-7221
PWY-6609: adenine and adenosine salvage III,PWY-6609
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation,PWY-5695
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,PWY-6163
PWY-7219: adenosine ribonucleotides de novo biosynthesis,PWY-7219
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),PWY-6386
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),PWY-6385
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),PWY-6387
COA-PWY-1: coenzyme A biosynthesis II (mammalian),COA-PWY-1
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),PEPTIDOGLYCANSYN-PWY
PWY-6700: queuosine biosynthesis,PWY-6700
PWY-3841: folate transformations II,PWY-3841
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,1CMET2-PWY
TRNA-CHARGING-PWY: tRNA charging,TRNA-CHARGING-PWY
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,PWY-6121
PWY-5667: CDP-diacylglycerol biosynthesis I,PWY-5667
PWY0-1319: CDP-diacylglycerol biosynthesis II,PWY0-1319
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing),PWY0-1586
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,PWY-6122
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis,PWY-6277
HISTSYN-PWY: L-histidine biosynthesis,HISTSYN-PWY
PWY-5973: cis-vaccenate biosynthesis,PWY-5973
PWY-6123: inosine-5'-phosphate biosynthesis I,PWY-6123
PWY-5097: L-lysine biosynthesis VI,PWY-5097
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),RIBOSYN2-PWY
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,PWY-7229
PWY-4242: pantothenate and coenzyme A biosynthesis III,PWY-4242
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),ANAGLYCOLYSIS-PWY
PANTO-PWY: phosphopantothenate biosynthesis I,PANTO-PWY
PWY-2942: L-lysine biosynthesis III,PWY-2942
THRESYN-PWY: superpathway of L-threonine biosynthesis,THRESYN-PWY
PWY-6124: inosine-5'-phosphate biosynthesis II,PWY-6124
COA-PWY: coenzyme A biosynthesis I,COA-PWY
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I,PANTOSYN-PWY
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY
PWY-7199: pyrimidine deoxyribonucleosides salvage,PWY-7199
ARO-PWY: chorismate biosynthesis I,ARO-PWY
PWY-7663: gondoate biosynthesis (anaerobic),PWY-7663
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I,PWY-7228
PWY-6936: seleno-amino acid biosynthesis,PWY-6936
PWY-6151: S-adenosyl-L-methionine cycle I,PWY-6151
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),PYRIDNUCSYN-PWY
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",PWY-724
PWY-3001: superpathway of L-isoleucine biosynthesis I,PWY-3001
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,PWY-6126
PWY-841: superpathway of purine nucleotides de novo biosynthesis I,PWY-841
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,PWY-6125
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,ASPASN-PWY
